MLE,lower,upper,year,predict,scenario
93.91258147605676,78.09899324786728,98.26238823150044,2002,estimated,scen1_indiv
69.90606492585711,47.87622727925998,82.42571395498408,2003,estimated,scen1_indiv
13.981360077167338,7.846554355138258,19.592774602526763,2004,estimated,scen1_indiv
77.49317467581314,55.47724442005871,88.46013160301798,2005,estimated,scen1_indiv
48.97442080360038,30.585035658251748,62.25152373388586,2006,estimated,scen1_indiv
15.214221126502292,8.565546283083902,21.256042155581746,2007,estimated,scen1_indiv
12.978465735026678,7.265146753451868,18.23185241483215,2008,estimated,scen1_indiv
9.816647787677447,5.451922591590153,13.895382264726342,2009,estimated,scen1_indiv
1.9718138811312347,1.0747281111371687,2.842380543318257,2010,estimated,scen1_indiv
11.347573809472655,6.326175426648617,16.003720338904316,2011,estimated,scen1_indiv
3.4654311826469386,1.8954146338621802,4.978482589410927,2012,estimated,scen1_indiv
7.810585788957369,4.316548884237326,11.10836674222857,2013,estimated,scen1_indiv
5.687414609040409,3.12713739223488,8.128922409044526,2014,estimated,scen1_indiv
4.302781568159397,2.358048750082875,6.169576338525662,2015,estimated,scen1_indiv
27.477477302433762,15.996745012458879,37.19770726753211,2016,estimated,scen1_indiv
9.412322916788762,6.602366095714851,12.1377395090985,2017,predicted,scen1_indiv
10.443276255187683,7.33278721838595,13.449357899583381,2018,predicted,scen1_indiv
3.384425534075386,2.2888292857650927,4.467737300165908,2019,predicted,scen1_indiv
16.42376949215044,11.680289121939413,20.912486731924563,2020,predicted,scen1_indiv
6.605733489124887,4.575734745739302,8.592547253436589,2021,predicted,scen1_indiv
