MLE,lower,upper,year,predict,scenario
95.25724688621523,81.19767016304391,98.7393724511666,2002,estimated,scen1_year
64.03422159442229,42.9123006308231,76.93978255616776,2003,estimated,scen1_year
12.421494437065716,7.0128714934098895,17.327424040304486,2004,estimated,scen1_year
72.72175866984679,50.9409048188252,84.490338898735,2005,estimated,scen1_year
44.718090446204975,27.741939161895413,57.27318053147618,2006,estimated,scen1_year
13.551551637889215,7.6725461225981455,18.853525236337287,2007,estimated,scen1_year
11.608355930445736,6.5405757267952165,16.2239964846798,2008,estimated,scen1_year
8.573313396360739,4.794825550062987,12.066587299427322,2009,estimated,scen1_year
1.612300976045844,0.8870936785121741,2.304934386851909,2010,estimated,scen1_year
9.975478486045542,5.598040925932901,13.994855681116093,2011,estimated,scen1_year
2.8953266587852244,1.5977218030271634,4.127457716693583,2012,estimated,scen1_year
6.805518909638863,3.7900528705730574,9.617136608666044,2013,estimated,scen1_year
5.174644455905042,2.870712182372659,7.339413092264913,2014,estimated,scen1_year
3.6473160825950313,2.0161979629961024,5.190804075063527,2015,estimated,scen1_year
24.654521646920678,14.374357377100623,33.37734665241868,2016,estimated,scen1_year
9.642417820544846,6.7166586393671786,12.4764128489661,2017,predicted,scen1_year
10.603461632305855,7.392079590318746,13.703481983262922,2018,predicted,scen1_year
3.325320273484045,2.2306146471619215,4.407768684482805,2019,predicted,scen1_year
16.52447657110232,11.668027046672492,21.113920828981648,2020,predicted,scen1_year
6.6092550846478915,4.543782369790805,8.630035293959182,2021,predicted,scen1_year
